Timestamp,control_egg_counts,treatment_egg_counts,egg_counts_diff,treatment_mean_diff
24.12.2023,NA,NA,NA,-1.8
25.12.2023,NA,NA,NA,-1.8
26.12.2023,NA,NA,NA,-1.8
27.12.2023,NA,NA,NA,-2.2
28.12.2023,NA,NA,NA,-2
29.12.2023,NA,NA,NA,-2
30.12.2023,115.5682819,157.4491525,NA,-2
31.12.2023,NA,NA,NA,-2
1.1.2024,NA,NA,NA,-2
2.1.2024,NA,NA,NA,1.3
3.1.2024,NA,NA,NA,1.3
4.1.2024,NA,NA,NA,0.8
5.1.2024,NA,NA,NA,1.1
6.1.2024,152.9869565,178.0689655,NA,1.5
7.1.2024,NA,NA,NA,1.5
8.1.2024,NA,NA,NA,1.5
9.1.2024,NA,NA,0.13430167,1.5
10.1.2024,NA,NA,0.121613365,1.5
11.1.2024,NA,NA,0.109290244,1.8
12.1.2024,NA,NA,0.097697491,0.7
13.1.2024,148.2242152,181.2969432,0.087200289,0.7
14.1.2024,NA,NA,0.078163823,1.4
15.1.2024,NA,NA,0.070953275,1.4
16.1.2024,NA,NA,0.065933831,1.8
17.1.2024,NA,NA,0.063367604,1.4
18.1.2024,NA,NA,0.063104434,1
19.1.2024,NA,NA,0.064891087,1
20.1.2024,NA,NA,0.068474334,1
21.1.2024,NA,NA,0.073600943,1
22.1.2024,NA,NA,0.080017683,1
23.1.2024,NA,NA,0.087471322,1
24.1.2024,NA,NA,0.095744861,1.6
25.1.2024,NA,NA,0.104766225,1.6
26.1.2024,NA,NA,0.114499568,1.2
27.1.2024,NA,NA,0.124909048,1.2
28.1.2024,NA,NA,0.13595882,1.2
29.1.2024,NA,NA,0.14761304,1.2
30.1.2024,NA,NA,0.159835863,2.1
31.1.2024,NA,NA,0.172591447,2.1
1.2.2024,NA,NA,0.185843945,2.1
2.2.2024,NA,NA,0.199557516,2.6
3.2.2024,NA,NA,0.213696313,2.6
4.2.2024,NA,NA,0.228224494,2.6
5.2.2024,NA,NA,0.243106213,2.6
5.2.2024,NA,NA,0.243106213,2.6
6.2.2024,NA,NA,0.258305628,3.2
7.2.2024,NA,NA,0.273786893,3.2
8.2.2024,NA,NA,0.289514165,2.8
9.2.2024,NA,NA,0.3054516,3.2
10.2.2024,NA,NA,0.321563353,3.2
11.2.2024,NA,NA,0.337813581,3.6
12.2.2024,NA,NA,0.354166439,4.1
13.2.2024,NA,NA,0.370586083,4.1
14.2.2024,NA,NA,0.387036669,4.1
15.2.2024,NA,NA,0.403482352,4.1
16.2.2024,NA,NA,0.41988729,4.1
17.2.2024,NA,NA,0.436215637,4.1
18.2.2024,NA,NA,0.452431549,4.1
19.2.2024,NA,NA,0.468499184,4.5
20.2.2024,NA,NA,0.484382695,5.1
21.2.2024,NA,NA,0.500046239,5.5
22.2.2024,NA,NA,0.515453973,5.5
23.2.2024,NA,NA,0.530570051,5.5
24.2.2024,NA,NA,0.54535863,5.5
25.2.2024,NA,NA,0.559783866,6
26.2.2024,NA,NA,0.573809915,6
27.2.2024,NA,NA,0.587400932,6
28.2.2024,NA,NA,0.600521073,6.5
29.2.2024,NA,NA,0.613134494,6
1.3.2024,NA,NA,0.625205352,6.5
2.3.2024,NA,NA,0.636697801,6.5
3.3.2024,NA,NA,0.647575999,5.4
4.3.2024,NA,NA,0.6578041,5
5.3.2024,NA,NA,0.66734626,5
6.3.2024,NA,NA,0.676166637,5.4
7.3.2024,NA,NA,0.684229384,5
8.3.2024,NA,NA,0.691498659,5
9.3.2024,NA,NA,0.697938617,5
10.3.2024,NA,NA,0.703513414,5.6
11.3.2024,NA,NA,0.708187206,5
12.3.2024,NA,NA,0.711924148,3
13.3.2024,NA,NA,0.714688398,3.4
14.3.2024,NA,NA,0.716444109,3.9
15.3.2024,NA,NA,0.71715544,3.4
16.3.2024,NA,NA,0.716786544,3
17.3.2024,39.34632035,9.546610169,0.715301579,3
18.3.2024,NA,NA,0.7126647,2.4
19.3.2024,NA,NA,0.708840062,2
20.3.2024,NA,NA,0.703791823,2.4
21.3.2024,NA,NA,0.697484137,2.2
22.3.2024,NA,NA,0.689881161,2.5
23.3.2024,NA,NA,0.68094705,2.5
24.3.2024,38.16738197,11.82758621,0.670645961,1.7
25.3.2024,NA,NA,0.658942049,1.7
26.3.2024,NA,NA,0.64579947,1.3
27.3.2024,NA,NA,0.63118238,1.3
28.3.2024,NA,NA,0.615054935,1.8
29.3.2024,NA,NA,0.597532703,1.8
30.3.2024,NA,NA,0.579336898,1.8
31.3.2024,30.3245614,10.7079646,0.561340149,1.8
1.4.2024,NA,NA,0.544415082,2.2
2.4.2024,NA,NA,0.529434325,2.2
3.4.2024,NA,NA,0.517270505,1.4
4.4.2024,NA,NA,0.508796249,1.4
5.4.2024,NA,NA,0.504376904,2
6.4.2024,NA,NA,0.502348692,2
6.4.2024,15.7918552,12.97816594,0.502348692,2
7.4.2024,NA,NA,0.500540555,2
8.4.2024,NA,NA,0.496781436,0.5
9.4.2024,NA,NA,0.488900276,0.5
10.4.2024,NA,NA,0.474726017,0.8
11.4.2024,NA,NA,0.452087601,0.7
12.4.2024,NA,NA,0.419429033,0.7
13.4.2024,NA,NA,0.377654566,0.7
14.4.2024,NA,NA,0.328283518,1
15.4.2024,NA,NA,0.272835203,1
16.4.2024,NA,NA,0.21282894,0.1
17.4.2024,NA,NA,0.149784044,-0.5
18.4.2024,NA,NA,0.085219831,-0.5
19.4.2024,NA,NA,NA,-2.3
